Filename,Run Count,Last Run Date
"C:\Program Files\Black Tree Gaming Ltd\Vortex\Vortex.exe",6,133116402089957138
"C:\Users\chris\AppData\Roaming\Opera Software\Opera GX Stable\_side_profiles\353238305F31373837333938363835",3,133169534437057925
"C:\Users\chris\AppData\Local\Microsoft\Edge\User Data\Profile 3\Edge Profile.ico",3,133159982159006587
"B:\PF\.git\modules\scoopbucket-presist\smartgit",2,133329465883800477
"C:\Steam\steamapps\.git",2,133214489891838984
"C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE",2,133183341560026985
"C:\Program Files\WindowsApps\Microsoft.Todos_2.86.53503.0_x64__8wekyb3d8bbwe\Todo.exe",2,133179005727668906
"C:\Program Files\Black Tree Gaming Ltd\Vortexy\Vortex.exe",2,133119866137302182
"C:\ProgramData\scoop\persist\everything",1,133329498990008384
"C:\ProgramData\scoop\apps\everything",1,133329498579059320
"B:\PF\chris\AppData\Roaming\syntevo\SmartGit",1,133329466582710548
"B:\PF\.git\modules\scoopbucket-1\smartgit",1,133329466020571268
"B:\PF\.git\modules\NewWindows\modules\scoopbucket-presist\modules\Everything",1,133329276508983264
"C:\ProgramData\scoop\persist\beeftext",1,133329249401253941
"B:\Users\chris\AppData\Roaming\JetBrains\DataGrip2021.1\consoles\.history\db\6f5acbc7-c2be-4b8b-a77a-ea78581ca491.sql",1,133224393172360353
"B:\ToGit\scoopbucket-presist\Datagrip\consoles\.history\db\6f5acbc7-c2be-4b8b-a77a-ea78581ca491.sql",1,133224392913594723
"B:\Users\chris\AppData\Roaming\JetBrains\New folder\HistoryResult.sql",1,133224368178870532
"B:\ToGit\chris\.git\modules\Documents",1,133224361930106234
"B:\ToGit\Projectfolder\VisualStudio\.git\modules\7327483",1,133224339622891802
"B:\ToGit\projectFolderBare\.git\modules\VisualStudio\3714794",1,133224339086656890
"B:\ToGit\projectFolderBare\.git\modules\VisualStudio\213c939651e0bef7612b2f910909a21d",1,133224338204944738
"B:\ToGit\scoopbucket-presist\.git\modules\Ditto\config",1,133218844490032609
"B:\ToGit\projectFolderBare\.git\modules\RawData\config",1,133218844343330649
"B:\ToGit\projectFolderBare\.git\modules\Modules\config",1,133218844173193030
"B:\ToGit\projectFolderBare\.git\modules\ForksDownloadedCode\boxsocial\config",1,133218844000547815
"B:\ToGit\projectFolderBare\.git\modules\Cv -Project\modules\cv & personligt brev\Cv\2016\config",1,133218843918303648
"B:\ToGit\projectFolderBare\.git\modules\Cv -Project\modules\cv & personligt brev\Cv\2012\config",1,133218843820930242
"B:\ToGit\projectFolderBare\.git\modules\Cv -Project\config",1,133218843707550244
"B:\ToGit\projectFolderBare\.git\modules\AhkProjectFolder\modules\data\config",1,133218843567891433
"B:\ToGit\projectFolderBare\.git\modules\AhkProjectFolder\modules\ahk_config\config",1,133218842597124233
"B:\ToGit\projectFolderBare\.git\modules\AhkProjectFolder\config",1,133218842437405562
"B:\ToGit\chris\.git\modules\Documents\config",1,133218842257365529
"B:\ToGit\PowershellProjects\.git\modules\CmdHist\config",1,133218842124066752
"B:\ToGit\scoopbucket-presist\.git\modules\Everything\config",1,133218841887139571
"B:\ToGit\.git\modules\CSharpVisualStudio\repos\Wpf-Upgift 1\WpfApp1\config",1,133218841645726909
"C:\Users\chris\AppData\Roaming\Scooter Software\Beyond Compare 4",1,133215512728364287
"C:\Program Files\Beyond Compare 4",1,133215463830895637
"B:\Users\chris\AppData\.git\modules\Roaming\Scooter Software\Beyond Compare 4",1,133215449473193561
"C:\Users\chris\OneDrive\Documents\Downloads\netfxrepairtool.exe",1,133214542587499592
"C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\VSIXInstaller.exe",1,133209333186329129
"C:\Users\chris\AppData\Local\Microsoft\VisualStudio\17.0_45d92faf\ComponentModelCache",1,133209243335640769
"Z:\Project Shelf\Archive\Unsorted\x.git\modules\RawData",1,133205520660108556
"C:\Users\chris\AppData\Roaming\Microsoft\Windows\PowerShell\.git",1,133205513993517613
"C:\Users\chris\AppData\.git",1,133205510863735645
"C:\ProgramData\scoop\buckets\extras\.git",1,133205510348126181
"C:\Users\chris\.git",1,133205248615286380
"C:\$Recycle.Bin\S-1-5-21-2818680412-951679892-3826290064-1001\$R1U5GJ9.mpq\data\.git",1,133205248429817827
"C:\Program Files\WindowsApps\Microsoft.Todos_2.82.53111.0_x64__8wekyb3d8bbwe\Todo.exe",1,133178991797665445
"C:\Program Files\WindowsApps\Microsoft.Todos_2.82.53111.0_x64__8wekyb3d8bbwe\SystemTray\Microsoft.Todos.SystemTrayExtension.exe",1,133178991770473959
"C:\Program Files\WindowsApps\Microsoft.YourPhone_1.22062.522.0_x64__8wekyb3d8bbwe\PhoneExperienceHost.exe",1,133178145962303360
"C:\Users\chris\AppData\Local\Microsoft\Edge\User Data\Default\Edge Profile.ico",1,133160848828079586
"C:\Users\chris\AppData\Roaming\Opera Software\Opera GX Stable\_side_profiles\353238305F31373837333938363835\History",1,133160848042271287
"C:\Users\chris\AppData\Local\Microsoft\Edge\User Data\Profile 10\Edge Profile.ico",1,133159961836989510
"Z:\Project Shelf\Unsorted\unsortedFiles\crx\10.36030-www.Crx4Chrome.com.crx",1,133158867282658878
"C:\Program Files\Black Tree Gaming Ltd\Vortexy",1,133158828115890793
"C:\Program Files\Copy Handler",1,133129027686574147
"C:\Program Files (x86)\WhatPulse",1,133129027469467840
"C:\Program Files\Recuva",1,133128951418597956
"C:\Users\Användaren\AppData\Roaming\Scooter Software\Beyond Compare 4",1,133050607264545987
"C:\Users\Användaren\AppData\Local\Microsoft\Edge\User Data\gist\latinx",1,133050602983425129
"C:\Program Files (x86)\JetBrains\DataGrip 2022.1.1",1,133045942253882155
"C:\Program Files (x86)\Synology",1,133045539884158610
"C:\ProgramData\Synology",1,133045539789664396
