Filename,Run Count,Last Run Date
"C:\Users\crbk01\.DataGrip2019.3\config\consoles\db\027c2d16-67ba-4eeb-837e-f99b41e4c813\selectFromsde_geofir_gotland.gng.READDRESS.sql",4,0
"D:\Users\crbk01\AppData\Roaming\JetBrains\DataGrip2021.1\projects\Kv-Utsökning",3,132790991516892489
"D:\Users\crbk01\.DataGrip2019.5\config\proj\Kv-Utsökning\FnrToAdress",3,132775664458998406
"D:\Users\crbk01\.DataGrip2019.5\config\proj\Kv-Utsökning\.idea\dataSources",3,132775578704323995
"C:\Users\crbk01\AppData\Roaming\Microsoft\Windows\PowerShell\PSReadline\ConsoleHost_history.txt",3,132772151683926681
"D:\Users\crbk01\.DataGrip2019.3",3,132765197652952283
"C:\Users\crbk01\AppData\Local\JetBrains\DataGrip2021.1",3,132765186383604538
"E:\Programming(projects)\Sql\consoles\db\df12b0e0-4edc-4d15-ad9c-975f1eb86a9f\CREATE_VIEW_Tool_WordInheretance_As_WITH_Initial_As_Select_Min_Url_Sql__Df_.sqlsql",3,132593563797253613
"E:\Programming(projects)\Sql\consoles\db\2bf7430e-d0ae-4128-94f7-9080f95eca0c\With_ReocuringNames_As_Select_From_ReocuringNames_L___bf_e_D_ae_f.sql",3,132593560836968606
"E:\Program Files\Bulk Rename Utility",3,132590193655935319
"C:\Users\crbk01\.DataGrip2019.3\config\projects\FnrToAdress\usökningkv2020-11.sql",3,132584528641537582
"C:\Users\crbk01\.DataGrip2019.3\config\projects\Sql-harAns-kan\sp_xKonUpgToAdr.sql",3,132584525277709987
"C:\ProgramData\Path of Building",3,132577971416268218
"C:\Windows\assembly\GAC_MSIL\Microsoft.Office.Interop.Excel\15.0.0.0__71e9bce111e9429c\Microsoft.Office.Interop.Excel.dll",2,132858494187005440
"D:\portapps\6, Text,programming, x Editing\PortableApps\WinMergePortable\App\WinMerge\MergePlugins\CompareMSExcelFiles.sct",2,132858489294953249
"D:\Users\crbk01\AppData\Roaming\JetBrains\DataGrip2021.1\projects\Fil-Till-Vision\.idea\dataSources.xml",2,132839451899715693
"D:\Users\crbk01\AppData\Roaming\JetBrains\DataGrip2021.1\projects\Vision-Fil-Insert\.idea\dataSources.xml",2,132839451441319058
"C:\Users\crbk01\AppData\Local\Temp\MicrosoftEdgeDownloads\a19ffc95-b43c-4dc6-85b6-f4bf92e698d9\Påminnelseutskick_skrivelse_v3.docx",2,132834274250964339
"C:\Users\crbk01\AppData\Roaming\JetBrains\DataGrip2021.1",2,132833597768587405
"D:\Users\crbk01\AppData\Roaming\JetBrains\DataGrip2021.1\projects\Vision-Fil-Insert",2,132833580212845610
"D:\Users\crbk01\AppData\Roaming\JetBrains\DataGrip2021.1\consoles\.history\db\8cc23256-e02c-43ea-8477-e740c4580b62.sql",2,132815458621879813
"D:\Users\crbk01\AppData\Roaming\JetBrains\DataGrip2021.1\consoles\.history\db\2ca40bb3-aca4-412d-a610-84b4e5da6dbe.sql",2,132815457912919504
"D:\Users\crbk01\AppData\Roaming\JetBrains\DataGrip2021.1\consoles\db\8cc23256-e02c-43ea-8477-e740c4580b62\modular\2OppnaArendenIsocken.sql",2,132815415513203061
"D:\Users\crbk01\AppData\Roaming\JetBrains\DataGrip2021.1\consoles\db\8cc23256-e02c-43ea-8477-e740c4580b62\modular\StatistikBeräkning\asd.sql",2,132814450870378989
"D:\Users\crbk01\AppData\Roaming\JetBrains\DataGrip2021.1\projects\EDPvisionRemote\output",2,132790992977802953
"C:\Users\crbk01\AppData\Roaming\JetBrains\DataGrip2021.1\projects\default\.idea\dataSources.xml",2,132779739533564684
"C:\Users\crbk01\AppData\Roaming\JetBrains\DataGrip2021.1\consoles\db\2ca40bb3-aca4-412d-a610-84b4e5da6dbe\console_3.sql",2,132779257459618037
"C:\Users\crbk01\AppData\Roaming\JetBrains\DataGrip2021.1\consoles\db\8cc23256-e02c-43ea-8477-e740c4580b62\console_8.sql",2,132779257239811475
"D:\Users\crbk01\AppData\Roaming\JetBrains\DataGrip2021.1\consoles\db\947f2b47-af0c-4354-9696-9462b1a4bf8b\ReningSearchINdex.sql",2,132778921576041964
"D:\Users\crbk01\AppData\Roaming\JetBrains\DataGrip2021.1\projects\Kv-Utsökning\.idea\dataSources",2,132775623894157200
"D:\Users\crbk01\AppData\Roaming\JetBrains\DataGrip2021.1\projects\Geosecma-Solen-Visoin-Vyer\.idea\dataSources",2,132775578616704007
"C:\Users\crbk01\OneDrive - Region Gotland\WindowsPowerShell\PSReadline\ConsoleHost_history.txt",2,132772151074296706
"C:\Users\crbk01\Desktop\OnGithub\powershell\createToutchedFile",2,132772074222268341
"C:\Users\crbk01\AppData\Local\Packages\Microsoft.Todos_8wekyb3d8bbwe\LocalState\AccountsRoot\d015b492594c43219d7373512091cc08\todosqlite.db",2,132772062949943786
"D:\Users\crbk01\.DataGrip2019.4",2,132765195765715148
"D:\.DataGrip2019.1",2,132765186633978557
"D:\Users\crbk01\.DataGrip2019.5",2,132765186108157237
"E:\Program Files\Microsoft VS Code\locales\am.pak",2,132593619743465887
"E:\Programming(projects)\Sql\consoles\db\2bf7430e-d0ae-4128-94f7-9080f95eca0c\With_Urls_As_Select_From_Url_OneWay_As_Select____bf_e_D_ae_f_.sql",2,132593560335446643
"E:\Programming(projects)\Sql\consoles\db\e763f48c-b1d7-4395-81fa-167e2f3e7a9f\CREATE_VIEW_Trimmed_As_With_SplitByCharAndFilter_Update_Title_With_Xe_Sql_.sqlsql",2,132593557835275375
"E:\Programming(projects)\Sql\consoles\db\e763f48c-b1d7-4395-81fa-167e2f3e7a9f\With_HaveKnowPostfixes_As_Select_Title_From_Urls_Todo_Move_Into_Table_Sel__.sql",2,132593381926074214
"E:\Program Files\DBSofts Inc",2,132590194463321826
"E:\Program Files\Free Key Logger",2,132590192498328402
"E:\PortableApps\8. Comunication\PortableApps\BeeBEEP\beebeep.exe",2,132586770911007568
"C:\Users\crbk01\.DataGrip2019.3\config\projects\FnrToAdress\usökningkv2020-11 - lila.sql",2,132584530183232123
"E:\Programming(projects)\Sql\consoles\db\2bf7430e-d0ae-4128-94f7-9080f95eca0c\__bf_e_D_ae_f_f_eca_c__.sql",2,132579098392383149
"E:\Programming(projects)\c++ projekt\c--Lab\Step3",2,132578919705330605
"E:\Programming(projects)\c++ projekt\c--Lab\step3(1)",2,132578915073001063
"E:\Programming(projects)\c++ projekt\c--Lab\task2_1",2,132578913386133195
"E:\Programming(projects)\c++ projekt\c--Lab\task2_3",2,132578913289987436
"C:\Users\Default\AppData\Roaming\Microsoft\Windows\SendTo",2,132578055231116495
"E:\Windows\ProgramData\Microsoft\Diagnosis",2,132577105201467363
"C:\ProgramData\Microsoft\Windows Defender",2,132577094131357855
"E:\PortableApps\10. unknown Legacy Broken\PortableApps\sPortable\App\Skype",2,132577075204798062
"E:\PortableApps\5. video\PortableApps\VLCPortable\App\vlc",2,132577072116960420
"C:\ProgramData\ShareMouse",2,132577063856349836
"E:\Programming(projects)\projectz\New folder",2,132575968398739972
"C:\Users\crbk01\.DataGrip2019.3\config\projects\Geosecma-Solen-Visoin-Vyer\Sol-vision\sol21.csv",2,0
"C:\Users\crbk01\.DataGrip2019.3\config\projects\Sql-harAns-kan\.history\harAnsökan_20200302134635.sql",2,0
"C:\Users\crbk01\AppData\Local\GitHubDesktop\app-2.9.6\resources\app\git\mingw64\libexec\git-core\git-lfs.exe",1,132850804500970792
"C:\Windows\WinSxS\amd64_microsoft-windows-s..english-autocorrect_31bf3856ad364e35_10.0.19041.1_none_c2369391ad47881f\MsSp7en-GB.acl",1,132841263110193600
"C:\Users\crbk01\AppData\Roaming\Microsoft\Spelling\en-GB\default.acl",1,132841262947345729
"C:\Users\crbk01\AppData\Roaming\Microsoft\Office\MSO2057.acl",1,132841252828990322
"C:\Windows\Globalization\ELS\SpellDictionaries\MsSp7en-GB.acl",1,132841252035728912
"D:\Users\crbk01\AppData\Roaming\JetBrains\DataGrip2021.1\projects\ListAggregation\.idea\dataSources.xml",1,132839451229119459
"C:\Users\crbk01\AppData\Local\Packages\Microsoft.Todos_8wekyb3d8bbwe\LocalState\AccountsRoot\2548e962ae4b482ebfcd23a150a42988\todosqlite.db",1,132839421012539140
"D:\Users\crbk01\AppData\Roaming\JetBrains\DataGrip2021.1\projects\ListAggregation",1,132838638434480754
"D:\Users\crbk01\AppData\Roaming\JetBrains\DataGrip2021.1\consoles\db\9bf5f6bc-10c6-4831-8b5e-6c51fbeae781",1,132838634946410642
"C:\Users\crbk01\AppData\Roaming\JetBrains\DataGrip2021.1\consoles\db\7e4fb899-0567-4da7-8a60-86bca3049c5c\VisionH-ndelserToEasyRead\LatestHandelse(harAnsokan)",1,132838620789935248
"D:\.DataGrip2019.1\config\config\proj\Geosecma-Solen-Visoin-Vyer\Sol-vision",1,132838619281136222
"D:\.DataGrip2019.1\config\proj\Geosecma-Solen-Visoin-Vyer\Innan Databas övergång gamlla vyer",1,132838580536174512
"C:\Users\crbk01\AppData\Local\Temp\TortoiseGit\CreateOriginalListFIlter-d760fd75.000.sql",1,132838568587926733
"D:\OnGithub\To Vision, GDPR cleanup\Attribut_i_avloppsskiktet (1).docx",1,132834278483704969
"D:\Project Shelf\RegionGotland\Hjälpa Carin\carin - förbud 2 vt18.rar\carin - förbud 2 vt18\carin - förbud 2 vt18.rar\Uppföljning meddelat tillstånd_2018-04.docx",1,132834275999602985
"D:\Project Shelf\RawData\OldJobbRelaterat\LevaGrejer\DelatMedChristoffer\gammalt\Mor To Excel\frädigt\xInventories.9.docx",1,132834271861106581
"D:\Users\crbk01\AppData\Roaming\JetBrains\DataGrip2021.1\projects\EDPvisionRemote\output\output\TillMinaMedelanden",1,132833583980957846
"D:\PortableApps\2. file Organization\PortableApps\advanced_renamer_portable",1,132833575630872087
"D:\Project Shelf\RegionGotland\MapBasic\Mapbasic-CommonLib\.git",1,132833575000016052
"D:\PortableApps\4, windows enhance\PortableApps\AutoHotkeyPortable\Data\modular\openInVscode.ahk",1,132820436032180093
"D:\Users\crbk01\AppData\Roaming\JetBrains\DataGrip2021.1\consoles\db\8cc23256-e02c-43ea-8477-e740c4580b62\modular\StatistikBeräkning\matchaFilerTillArenden.sql",1,132815415248646959
"D:\Users\crbk01\AppData\Roaming\JetBrains\DataGrip2021.1\consoles\db\2ca40bb3-aca4-412d-a610-84b4e5da6dbe\20201112Flaggor\VisionUtsökningMedHändelseÄrendeSocken(usökningkv2020-11)2.sql",1,132814505811036717
"D:\Users\crbk01\AppData\Roaming\JetBrains\DataGrip2021.1\consoles\db\2ca40bb3-aca4-412d-a610-84b4e5da6dbe\CallFunction\CallFörbudsutsök.sql",1,132814452950799832
"D:\Users\crbk01\AppData\Roaming\JetBrains\DataGrip2021.1\consoles\db\58e93225-fbe8-4239-b061-0a7800085c08\bulkinsert\BulkInsert.sql",1,132814450484829806
