Search,Search Count,Last Search Date
"config\consoles\db !folder: content:""char""",8,132582489854877681
"<child:.vscode|child:.git|child:.idea> !mapinfo !mapbasic !""E:\Programming(projects)\mapinfo\Mapinfo-Library\"" !E:\$ !D:\$ !C:\$ ",7,132914875429253503
"< ""E:\Programming(projects)\Sql\consoles\db"" | config\consoles\db >  !folder: content:union",7,132757568936511522
"!E:\$ ext:ahk ",7,132594747358875743
"""E:\ToDatabase\"" !""E:\ToDatabase\Json\ImageMetaData\""",7,132576890313389041
"!\$",6,132778934787714560
"E:\Pictures\",6,132594246633442386
"!D: !E:\$ !C:\$  < bak | ~ | ""("" > !attribute:L !E:\SteamLibrary\Modding\VortexDownload\ !E:\ToDatabase\Sqlite\ !E:\ToDatabase\Json\",6,132582573879919805
":\$RECYCLE.BIN",6,132571054206010835
"~",5,132757557243445777
"regex:child:""^[.]git$"" !mapinfo !mapbasic !""E:\Programming(projects)\mapinfo\Mapinfo-Library\"" !E:\$ !D:\$ !C:\$",5,132594264902603580
"<wildcards:diacritics:"".~*""> E:\  !folder: !E:\$",5,132587436601077901
"regex:child:""^[.]git$""",5,132578902095764684
".git\config !folder:",4,132990888343318053
"C:\",4,132754926889171078
"regex:child:""^.*[.]code-workspace$"" !mapinfo !mapbasic !""E:\Programming(projects)\mapinfo\Mapinfo-Library\"" !E:\$ !D:\$ !C:\$ ",4,132594740220561423
"E:\Pictures\ x\",4,132594248493509866
"size:gigantic !folder: !D:\ datemodified:<2021-01-01",4,132583158288235177
"config\consoles\db !folder:",4,132579081964585195
"""E:\Programming(projects)\projectz\"" ",4,132576412466268030
"parent:c\windows\system32 *.e",4,132570947689353278
"ext:ahk count:1",3,132978562276713788
"""C:\Users\crbk01\AppData\Local\Packages"" Microsoft.Office.OneNote_8wekyb3d8bbwe",3,132754888922796665
"ext:sqlite !\$ \todatabase\",3,132593721950795214
"E:\ToDatabase\Sqlite\ !folder: ext:sqlite !-",3,132593697427768662
"""E:\Pictures\Pictures\"" !\unsorted\ childfilecount:1..300 ",3,132591458373742557
"<C:|E:>\program files\  folder: parents:2",3,132590708702033778
"sizedupe:!dmdupe: size:huge..gigantic ",3,132582677246207234
"jdk1.",3,132578144823842285
"glarysoft",3,132577924521249443
"parent:c:\windows\system32 *.exe",3,132575623265907313
"folder:wildcards:sizedupe:!(dmdupe:)!(infolder:E:\*RECYCLE*) size:huge..gigantic ",3,132571071310631689
"sizedupe:size:huge..gigantic",3,132571054225396488
"parent:""E:\PortableApps"" *.exe",3,132570949993910204
"\modules PackageManagement",2,132998723128123492
"powershell-b",2,132998723120957703
"itextsharp",2,132998723093763640
"commandLine|ConsoleHost_history ext:txt",2,132997748499030376
"regex:""\data\*.ahk""",2,132995851493828813
"C:\Users\crbk01\AppData\Local\Microsoft\Edge\User Data\Default\",2,132990857347942053
"consoleHost ext:txt",2,132990855012628801
"runconf",2,132975033066424697
"ext:pdf",2,132974485308716198
"workspace ps1",2,132967431726446066
"dataSources dir:",2,132931017236563036
"path:runconf ext:xml",2,132926056824110708
"wildcards:child:*.git",2,132925976164302668
"wholeword:child:.git !C:\users\Crbk01\AppData\Local\Temp",2,132914875916426598
"ext:log datecreated:today",2,132914846075741670
"child:"".git""",2,132914842246111060
"flagg dir:",2,132775666133607140
"!\$ !""\.history""",2,132772945062189691
"!dir:",2,132772076760932106
"windowsPaths",2,132769521484852632
"""C:\"" ",2,132766037848144469
"folder: ""C:\"" ",2,132765945848024546
"folder: ""C:\Users\crbk01\AppData\Roaming\"" ",2,132765936690437449
"datagrip",2,132764783502657003
"Bookmarks.csv",2,132761671977615319
"D:\",2,132754909764479909
"C:\ size:>10mb",2,132754876836867538
"parent:E:\Pictures\unsorted\ !<childfilecount:1 childfoldercount:0> !folder:",2,132594700794807029
"!\$ ext:ahk !datemodified:20210305",2,132594315378862762
"irfanview\",2,132594248526829891
"""E:\Program Files\K-Lite Codec Pack""",2,132594248336233232
"ext:sql",2,132594202145430799
"ext:sqlite !\$ \todatabase\ -",2,132593719299373386
"ext:sqlite !\$ \todatabase\ !-",2,132593710899604739
"\.datagrip|\datagrip",2,132593384954685457
"""E:\ToDatabase\uTorrent"" !\what.cd\ ",2,132593244854645540
"""E:\Pictures\Pictures\"" !\unsorted\ childfilecount:1..300 childfoldercount:0",2,132591572749532686
"E:\Pictures\unsorted\",2,132590979730969622
"E:\pictures\x\internet\",2,132590977283620219
"E:\SteamLibrary\steamapps\workshop\content\221380\ folder: !""E:\SteamLibrary\steamapps\workshop\content\221380\281802458"" parents:6",2,132588622459996755
"""config""",2,132588323806781332
"age of empires",2,132588193454831112
"<child:.vscode|child:.git|child:.idea|regex:child:""^.*[.]code-workspace$""> !mapinfo !mapbasic !""E:\Programming(projects)\mapinfo\Mapinfo-Library\"" !E:\$ !D:\$ !C:\$ ",2,132588135197187032
"regex:child:""^[.]code-workspace$"" !mapinfo !mapbasic !""E:\Programming(projects)\mapinfo\Mapinfo-Library\"" !E:\$ !D:\$ !C:\$ ",2,132588133251604053
"regex:child:""^[.]vscode$"" !mapinfo !mapbasic !""E:\Programming(projects)\mapinfo\Mapinfo-Library\"" !E:\$ !D:\$ !C:\$ ",2,132587436943245386
"E:\ ~ !folder:",2,132586695290026417
"E:\ folder:",2,132585719605606490
"!D:\ wildcards:attrib:*L*",2,132585010357997219
"ext:dll !C:\$ !E:\$",2,132582977134516647
"!D: !E:\$ !C:\$  < bak | ~ | ""("" > !attribute:L !E:\SteamLibrary\Modding\VortexDownload\ !E:\ToDatabase\Sqlite\",2,132582523233429913
"C:\ config\consoles\db\",2,132579087749002653
"E:\PortableApps ",2,132578724423278158
"Origin",2,132577949411858556
"filelistfilename:ImageDupes.csv",2,132577236141780132
"Diagnosis",2,132577105156931855
"Razer",2,132577091223552854
"E:\ child:.git",2,132575941070310159
"sizedupe:",2,132570998931505517
"countedUniqueLinesSorted",1,132998641904537251
"commandLine ext:txt",1,132997632705703492
"tortoiseGit ext:exe",1,132997593982899915
"carotdav",1,132997568781500990
"PackageManagement",1,132996872175493516
"diskmgmt.msc",1,132995908213196492
"ConsoleHost_history",1,132995826276383442
"ext:txt content:ConvertTo-Csv",1,132990854799054351
"\edge bookmarks",1,132990774127489346
"edge bookmarks",1,132990774064201443
"count:1 ext:ahk",1,132979492091543348
"count:1",1,132978581178560528
"ext:ahk limit:1",1,132978558816528209
"rescu",1,132978542214772605
"ext:sql socken",1,132977840102388827
"353930385F32303330343230393630",1,132977683034192073
